Provincias,Total,Mortales,mortalidad,Muertosxacc,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos
ÁLAVA,694,16,2.31,1.25,1.028,20,1.008,321,11,517,13,504,373,5,511,7,504
ALBACETE,558,34,6.09,1.26,821,43,778,263,31,453,39,414,295,3,368,4,364
ALICANTE,1.800,50,2.78,1.24,2.748,62,2.686,1.100,42,1.845,51,1.794,700,8,903,11,892
ALMERÍA,816,33,4.04,1.27,1.405,42,1.363,553,27,993,34,959,263,6,412,8,404
ÁVILA,444,12,2.70,1.33,649,16,633,321,9,477,12,465,123,3,172,4,168
BADAJOZ,873,48,5.50,1.21,1.260,58,1.202,497,37,761,45,716,376,11,499,13,486
BALEARES,1.821,44,2.42,1.27,2.636,56,2.580,1.096,37,1.746,47,1.699,725,7,890,9,881
BARCELONA,18.364,155,0.84,1.35,24.445,209,24.236,4.245,86,6.385,123,6.262,14.119,69,18.060,86,17.974
BURGOS,812,44,5.42,1.34,1.236,59,1.177,586,35,951,48,903,226,9,285,11,274
CÁCERES,594,30,5.05,1.23,914,37,877,467,23,754,29,725,127,7,160,8,152
CÁDIZ,2.920,38,1.30,1.29,4.638,49,4.589,972,31,1.731,38,1.693,1.948,7,2.907,11,2.896
CASTELLÓN,899,53,5.90,1.36,1.328,72,1.256,536,49,859,66,793,363,4,469,6,463
CIUDAD REAL,613,31,5.06,1.16,949,36,913,455,29,745,33,712,158,2,204,3,201
CÓRDOBA,892,36,4.04,1.31,1.355,47,1.308,593,24,960,32,928,299,12,395,15,380
A CORUÑA,947,79,8.34,1.24,1.445,98,1.347,703,63,1.126,81,1.045,244,16,319,17,302
CUENCA,438,22,5.02,1.41,748,31,717,388,20,679,28,651,50,2,69,3,66
GIRONA,2.727,69,2.53,1.25,3.770,86,3.684,1.344,53,2.037,67,1.970,1.383,16,1.733,19,1.714
GRANADA,1.333,53,3.98,1.23,2.129,65,2.064,917,46,1.610,57,1.553,416,7,519,8,511
GUADALAJARA,230,12,5.22,1.33,358,16,342,136,12,234,15,219,94,0,124,1,123
GUIPÚZCOA,1.974,23,1.17,1.39,2.626,32,2.594,941,15,1.313,20,1.293,1.033,8,1.313,12,1.301
HUELVA,709,31,4.37,1.35,1.166,42,1.124,594,29,992,40,952,115,2,174,2,172
HUESCA,453,32,7.06,1.16,681,37,644,364,31,577,35,542,89,1,104,2,102
JAÉN,797,37,4.64,1.22,1.334,45,1.289,586,34,1.051,41,1.010,211,3,283,4,279
LEÓN,989,43,4.35,1.28,1.621,55,1.566,618,35,1.093,45,1.048,371,8,528,10,518
LLEIDA,1.280,42,3.28,1.21,1.816,51,1.765,922,38,1.366,46,1.320,358,4,450,5,445
LA RIOJA,692,25,3.61,1.36,984,34,950,306,23,465,31,434,386,2,519,3,516
LUGO,389,35,9.00,1.20,620,42,578,296,31,502,37,465,93,4,118,5,113
MADRID,13.734,147,1.07,1.32,18.984,194,18.790,4.064,100,6.246,116,6.130,9.670,47,12.738,78,12.660
MÁLAGA,2.626,54,2.06,1.28,3.740,69,3.671,954,44,1.602,53,1.549,1.672,10,2.138,16,2.122
MURCIA,782,75,9.59,1.17,1.424,88,1.336,751,62,1.382,74,1.308,31,13,42,14,28
NAVARRA,494,33,6.68,1.18,710,39,671,433,29,628,35,593,61,4,82,4,78
OURENSE,294,34,11.56,1.12,450,38,412,150,31,257,34,223,144,3,193,4,189
ASTURIAS,1.986,49,2.47,1.16,3.034,57,2.977,1.181,41,1.936,48,1.888,805,8,1.098,9,1.089
PALENCIA,350,16,4.57,1.31,520,21,499,210,13,350,17,333,140,3,170,4,166
PONTEVEDRA,1.919,55,2.87,1.24,3.009,68,2.941,1.643,45,2.628,54,2.574,276,10,381,14,367
SALAMANCA,450,21,4.67,1.24,742,26,716,385,17,639,21,618,65,4,103,5,98
CANTABRIA,843,22,2.61,1.36,1.299,30,1.269,801,20,1.231,26,1.205,42,2,68,4,64
SEGOVIA,277,16,5.78,1.44,434,23,411,226,14,360,20,340,51,2,74,3,71
SEVILLA,3.090,71,2.30,1.27,4.894,90,4.804,1.406,64,2.388,79,2.309,1.684,7,2.506,11,2.495
SORIA,251,14,5.58,1.21,414,17,397,206,13,347,16,331,45,1,67,1,66
TARRAGONA,2.292,61,2.66,1.16,3.127,71,3.056,1.461,54,2.117,62,2.055,831,7,1.010,9,1.001
TERUEL,214,18,8.41,1.11,314,20,294,191,13,288,15,273,23,5,26,5,21
TOLEDO,980,54,5.51,1.28,1.611,69,1.542,819,44,1.391,58,1.333,161,10,220,11,209
VALENCIA,4.751,80,1.68,1.61,6.643,129,6.514,1.660,51,2.596,72,2.524,3.091,29,4.047,57,3.990
VALLADOLID,546,23,4.21,1.57,905,36,869,384,19,664,29,635,162,4,241,7,234
VIZCAYA,2.216,24,1.08,1.29,3.311,31,3.280,1.126,23,1.733,27,1.706,1.090,1,1.578,4,1.574
ZAMORA,260,12,4.62,1.42,422,17,405,184,10,309,14,295,76,2,113,3,110
ZARAGOZA,1.820,52,2.86,1.25,2.540,65,2.475,769,41,1.200,49,1.151,1.051,11,1.340,16,1.324
CEUTA,291,0,0.00,0.00,395,1,394,0,0,0,0,0,291,0,395,1,394
MELILLA,521,2,0.38,1.50,817,3,814,0,0,0,0,0,521,2,817,3,814
LAS PALMAS,2.206,57,2.58,1.26,3.231,72,3.159,1.665,47,2.544,58,2.486,541,10,687,14,673
